start	end	text
0	10740	Once upon a time, in a village called Mahabaleshwar, there lived a rich man by name Balvinder Singh.
10740	16520	He had the only son by name Yashwant, who was inactive and non-focus towards life.
16520	22200	He had no interest in anything, so much that he did not even focus on his studies.
22200	25600	All he would do is roam with his friends all the day.
25600	26600	Then one day...
26600	31240	Son, Yashwant, concentrate on your studies now.
31240	32240	You are growing.
32240	35280	Don't roam around with your friends all the time.
35280	36840	You need to study now.
36840	40000	Papa, why do I need to study at all?
40000	43680	As we are rich, and should I do a clerical job by studying now?
43680	46000	Why are you insisting me to study?
46000	49600	Son, Yashwant, knowledge is divine.
49600	54640	One should study to become wise, but not to do a clerical job.
54640	60720	One should know wise ways to live, and one can get it only through gurus.
60720	65400	There is a lot to learn in this world, my boy, and you should start paying attention,
65400	66400	alright?
66400	72840	Papa, I am not interested in studying, and please do not force me to study.
72840	75240	Please leave me alone.
75240	81160	Balvinder ponders upon how to change his son, as Yashwant is arrogant and not ready to study.
81280	84400	Meanwhile, his wife Amarbir comes there.
84400	88600	She sees him worried, and tries to convince him.
88600	90320	Please do not bother yourself.
90320	93240	He is our only son, and we have pampered him a lot.
93240	94640	He is still too young.
94640	96600	It will all be good with the passing time.
96600	97600	That's true.
97600	100520	We pampered him as he was a small boy.
100520	102600	But now, he is not.
102600	106680	If he continues to be a lazy bone, I am afraid of his future.
106680	109160	And he does not understand my intentions.
109160	111040	I am clueless about his future.
111040	114920	There is only one way out to get rid of this problem.
114920	117680	He must be away from us, and his friends.
117680	122480	That is the only solution I see for now, for him to realise the importance of life.
122480	123480	Oh God!
123480	126560	To send away our only child.
126560	128280	Can you stay without him?
128280	131920	We should take this tough decision for his good future.
131920	134400	Till now, we were pampering him.
134400	138720	But now, when we ask him to change, he sees us as his enemies.
138720	141560	So sending him away is the only solution.
141560	143440	Our love should help him to grow.
143440	147480	And that happens only when he studies well and away from us.
147480	149080	This is what I think.
149080	150360	Do you agree with this?
150360	151840	I like the idea.
